word	nodeType	synsetCount	unit
sick	ADJ	9	ferris
bright	ADJ	11	ferris
high	ADJ	18	ferris
blue	ADJ	16	ferris
selfish	ADJ	1	ferris
little	ADJ	10	ferris
underway	ADJ	1	ferris
german	ADJ	3	ferris
american	ADJ	5	ferris
ferris	ADJ	0	ferris
homely	ADJ	4	ferris
german	ADJ	3	ferris
american	ADJ	5	ferris
hard	ADJ	22	ferris
worried	ADJ	8	ferris
few	ADJ	2	ferris
previous	ADJ	3	ferris
sure	ADJ	10	ferris
popular	ADJ	4	ferris
impossible	ADJ	4	ferris
bad	ADJ	17	ferris
grim	ADJ	6	ferris
true	ADJ	15	ferris
bad	ADJ	17	ferris
interested	ADJ	5	ferris
few	ADJ	2	ferris
other	ADJ	4	ferris
entire	ADJ	5	ferris
good	ADJ	27	ferris
good	ADJ	27	ferris
fine	ADJ	10	ferris
fine	ADJ	10	ferris
black	ADJ	22	ferris
maroon	ADJ	6	ferris
little	ADJ	10	ferris
old	ADJ	9	ferris
little	ADJ	10	ferris
angleic	ADJ	0	ferris
ready	ADJ	8	ferris
entire	ADJ	5	ferris
rousing	ADJ	7	ferris
wide	ADJ	11	ferris
high	ADJ	18	ferris
entire	ADJ	5	ferris
high	ADJ	18	ferris
grim	ADJ	6	ferris
gritty	ADJ	2	ferris
beautiful	ADJ	2	ferris
blue	ADJ	16	ferris
wide	ADJ	11	ferris
open	ADJ	36	ferris
closed	ADJ	26	ferris
big	ADJ	17	ferris
broad	ADJ	9	ferris
excited	ADJ	12	ferris
front	ADJ	13	ferris
front	ADJ	13	ferris
sorry	ADJ	4	ferris
ill	ADJ	9	ferris
afraid	ADJ	4	ferris
weakened	ADJ	10	ferris
nasty	ADJ	4	ferris
further	ADJ	11	ferris
nice	ADJ	6	ferris
pre	ADJ	0	ferris
-	ADJ	0	ferris
litany	ADJ	2	ferris
smart	ADJ	9	ferris
sorry	ADJ	4	ferris
ill	ADJ	9	ferris
afraid	ADJ	4	ferris
weakened	ADJ	10	ferris
suspicious	ADJ	2	ferris
black	ADJ	22	ferris
large	ADJ	11	ferris
nice	ADJ	6	ferris
large	ADJ	11	ferris
tassled	ADJ	0	ferris
garish	ADJ	1	ferris
deserted	ADJ	4	ferris
open	ADJ	36	ferris
embarrassed	ADJ	4	ferris
other	ADJ	4	ferris
schizophrenic	ADJ	3	ferris
amazing	ADJ	4	ferris
major	ADJ	13	ferris
false	ADJ	11	ferris
interested	ADJ	5	ferris
mammary	ADJ	1	ferris
little	ADJ	10	ferris
depressed	ADJ	8	ferris
true	ADJ	15	ferris
romantic	ADJ	5	ferris
terrible	ADJ	4	ferris
sappy	ADJ	2	ferris
empty	ADJ	10	ferris
blue	ADJ	16	ferris
first	ADJ	16	ferris
strange	ADJ	3	ferris
little	ADJ	10	ferris
bare	ADJ	13	ferris
orignal	ADJ	0	ferris
big	ADJ	17	ferris
dramatic	ADJ	4	ferris
lonesome	ADJ	2	ferris
familiar	ADJ	7	ferris
open	ADJ	36	ferris
fried	ADJ	4	ferris
open	ADJ	36	ferris
gigantic	ADJ	1	ferris
black	ADJ	22	ferris
furious	ADJ	3	ferris
other	ADJ	4	ferris
overall	ADJ	4	ferris
good	ADJ	27	ferris
american	ADJ	5	ferris
high	ADJ	18	ferris
late	ADJ	11	ferris
good	ADJ	27	ferris
giant	ADJ	8	ferris
cooked	ADJ	6	ferris
incredible	ADJ	1	ferris
modern	ADJ	7	ferris
major	ADJ	13	ferris
quizical	ADJ	0	ferris
frozen	ADJ	17	ferris
right	ADJ	36	ferris
frozen	ADJ	17	ferris
bored	ADJ	4	ferris
baffled	ADJ	5	ferris
front	ADJ	13	ferris
obscene	ADJ	3	ferris
sizzling	ADJ	5	ferris
small	ADJ	13	ferris
sick	ADJ	9	ferris
messed	ADJ	2	ferris
worthless	ADJ	2	ferris
few	ADJ	2	ferris
huge	ADJ	1	ferris
floral	ADJ	3	ferris
bloody	ADJ	4	ferris
sorry	ADJ	4	ferris
ill	ADJ	9	ferris
afraid	ADJ	4	ferris
nasty	ADJ	4	ferris
further	ADJ	11	ferris
little	ADJ	10	ferris
only	ADJ	9	ferris
nice	ADJ	6	ferris
more	ADJ	5	ferris
popular	ADJ	4	ferris
happy	ADJ	4	ferris
many	ADJ	1	ferris
human	ADJ	4	ferris
speedy	ADJ	2	ferris
sorry	ADJ	4	ferris
cool	ADJ	11	ferris
incredible	ADJ	1	ferris
massive	ADJ	4	ferris
thick	ADJ	13	ferris
steamy	ADJ	3	ferris
facinating	ADJ	0	ferris
excellent	ADJ	1	ferris
real	ADJ	13	ferris
several	ADJ	3	ferris
pleasant	ADJ	2	ferris
first	ADJ	16	ferris
weird	ADJ	3	ferris
used	ADJ	9	ferris
pissed	ADJ	3	ferris
whole	ADJ	8	ferris
much	ADJ	7	ferris
high	ADJ	18	ferris
long	ADJ	12	ferris
large	ADJ	11	ferris
unconscious	ADJ	4	ferris
ceramic	ADJ	2	ferris
broken	ADJ	72	ferris
great	ADJ	7	ferris
fleeting	ADJ	3	ferris
open	ADJ	36	ferris
